individuo,prestadorIndividuo,centro,prestadorCentro,tipoTransporte,dia,hora,tiempoViaje,llegaGeografico,cantidadPediatras,llega
1,7,103,1,AUTO,Martes,1700,-1,No,0,No
1,7,103,1,AUTO,Martes,1800,-1,No,0,No
1,7,103,1,AUTO,Martes,1900,-1,No,0,No
1,7,103,1,AUTO,Martes,2000,-1,No,0,No
1,7,103,1,AUTO,Martes,2100,12,Si,0,No
1,7,103,1,AUTO,Miercoles,600,8,Si,0,No
1,7,103,1,AUTO,Miercoles,700,8,Si,0,No
1,7,103,1,AUTO,Miercoles,800,8,Si,1,No
1,7,103,1,AUTO,Miercoles,900,8,Si,1,No
1,7,103,1,AUTO,Miercoles,1000,8,Si,1,No
1,7,103,1,AUTO,Miercoles,1100,8,Si,1,No
1,7,103,1,AUTO,Miercoles,1200,8,Si,0,No
1,7,103,1,AUTO,Miercoles,1300,8,Si,0,No
1,7,103,1,AUTO,Miercoles,1400,8,Si,0,No
1,7,103,1,AUTO,Miercoles,1500,8,Si,0,No
1,7,103,1,AUTO,Miercoles,1600,8,Si,0,No
1,7,103,1,AUTO,Miercoles,1700,-1,No,0,No
1,7,103,1,AUTO,Miercoles,1800,-1,No,0,No
1,7,103,1,AUTO,Miercoles,1900,-1,No,0,No
1,7,103,1,AUTO,Miercoles,2000,-1,No,0,No
1,7,103,1,AUTO,Miercoles,2100,12,Si,0,No
1,7,103,1,AUTO,Jueves,600,8,Si,0,No
1,7,103,1,AUTO,Jueves,700,8,Si,0,No
1,7,103,1,AUTO,Jueves,800,8,Si,0,No
1,7,103,1,AUTO,Jueves,900,8,Si,0,No
1,7,103,1,AUTO,Jueves,1000,8,Si,0,No
1,7,103,1,AUTO,Jueves,1100,8,Si,0,No
1,7,103,1,AUTO,Jueves,1200,8,Si,1,No
1,7,103,1,AUTO,Jueves,1300,8,Si,1,No
1,7,103,1,AUTO,Jueves,1400,8,Si,1,No
1,7,103,1,AUTO,Jueves,1500,8,Si,1,No
1,7,103,1,AUTO,Jueves,1600,8,Si,0,No
1,7,103,1,AUTO,Jueves,1700,-1,No,0,No
1,7,103,1,AUTO,Jueves,1800,-1,No,0,No
1,7,103,1,AUTO,Jueves,1900,-1,No,0,No
1,7,103,1,AUTO,Jueves,2000,-1,No,0,No
