persona,cantidadTotalHoras,cantidadHorasLunes,cantidadHorasMartes,cantidadHorasMiercoles,cantidadHorasJueves,cantidadHorasViernes,cantidadHorasSabado,cantidadMaximaHoras,cantidadConsultasLunes,cantidadConsultasMartes,cantidadConsultasMiercoles,cantidadConsultasJueves,cantidadConsultasViernes,cantidadConsultasSabado,cantidadTotalConsultas,cantidadCentrosLunes,cantidadCentrosMartes,cantidadCentrosMiercoles,cantidadCentrosJueves,cantidadCentrosViernes,cantidadCentrosSabado,cantidadTotalCentros,centroOptimo
1,62,11,11,10,10,10,10,11,811,794,748,772,733,140,3998,142,143,137,141,132,33,166,505
2,46,12,8,6,10,9,1,12,24,21,12,22,12,1,92,5,5,3,5,3,1,6,703
