574,144,883,1,573243.7184472000,6136933.2067228000,7,92
575,144,883,2,573543.2237177700,6136954.5294995100,7,60
577,144,883,3,573860.2210278460,6136981.1928246600,7,92
579,144,883,4,574168.8456425090,6137007.7642302800,7,211
3915,144,883,5,574557.1213132620,6137101.2243085600,7,56
3916,144,883,6,574739.0685000000,6137077.4433800000,7,60
3857,144,883,7,575026.5579364610,6137156.9738185600,7,60
3858,144,883,8,575317.0749636540,6137289.7152081100,7,83
4002,144,883,9,575663.5166065270,6137352.6392832900,7,56
4087,144,883,10,575875.7880079900,6137370.3179325700,7,60
4003,144,883,11,576211.9330122310,6137398.2601970600,7,120
2969,144,883,12,576580.4700100000,6137417.9611600000,7,55
2970,144,883,13,576804.9045500000,6137374.4026600000,7,63
3890,144,883,14,577068.5239700000,6137369.4510500000,7,60
3891,144,883,15,577378.8559242140,6137368.6477365100,7,60
2971,144,883,16,577566.9316600000,6137370.8375000000,7,51
4881,144,883,17,577807.2800548400,6137373.6652461000,7,56
2972,144,883,18,577984.4998577420,6137389.5196896500,7,60
2973,144,883,19,578232.6143900000,6137429.4373700000,7,59
3887,144,883,20,578427.1500100000,6137476.1390400000,7,63
2974,144,883,21,578675.8116404750,6137555.5865691100,7,60
2975,144,883,22,578952.5657728920,6137666.1931447900,7,63
2976,144,883,23,579280.0177200000,6137746.5210000000,7,52
2977,144,883,24,579494.1986400000,6137717.8567100000,7,53
2978,144,883,25,579633.5055600000,6137756.3883700000,7,63
2979,144,883,26,579951.0734300000,6137959.4681000000,7,53
3078,144,883,27,580178.0082600000,6137975.5946000000,7,60
3017,144,883,28,580271.7540888500,6138134.3955795300,7,63
3019,144,883,29,580085.3587846790,6138384.2858999200,7,60
3020,144,883,30,579971.3589900000,6138537.5176700000,7,70
3021,144,883,31,579811.3478800000,6138771.9806700000,7,61
3022,144,883,32,579677.7980100000,6138974.2468700000,7,53
3023,144,883,33,579543.6296400000,6139115.9665100000,7,61
3024,144,883,34,579360.9231600000,6139301.7740700000,7,60
3025,144,883,35,579201.3151200000,6139458.5228800000,7,67
3026,144,883,36,579033.9685400000,6139628.2173000000,7,54
3027,144,883,37,578902.7688600000,6139758.6252900000,7,66
3028,144,883,38,578736.4221500000,6139920.5300300000,7,149
3029,144,883,39,578506.0982789680,6140332.6267630000,7,46
3524,144,883,40,578410.9306900000,6140475.2825700000,7,60
4402,144,883,41,578172.7931500000,6140596.6066700000,7,60
546,144,883,42,578023.6001100000,6140711.3452000000,7,56
547,144,883,43,577944.2534500000,6140828.5180400000,7,54
549,144,883,44,577776.3141600000,6141077.7361200000,7,84
3777,144,883,45,577546.0857556040,6141287.0958567600,7,72
3778,144,883,46,577169.2591800000,6141369.6661300000,7,57
3779,144,883,47,576995.0117100000,6141196.5938100000,7,54
3780,144,883,48,576827.3834700000,6141029.6835900000,7,59
3097,144,883,49,576651.3316400000,6141179.6021400000,7,53
